ChangeTV init done
---------- 1544914542.711944 ----------

---------- 1544914547.7191582 ----------

---------- 1544914552.7263844 ----------

---------- 1544914557.7335975 ----------

---------- 1544914562.7408323 ----------

---------- 1544914567.748055 ----------

---------- 1544914572.7529063 ----------

---------- 1544914577.760096 ----------

---------- 1544914582.7673051 ----------

---------- 1544914587.7740757 ----------

---------- 1544914592.7777257 ----------

---------- 1544914597.7824726 ----------

---------- 1544914602.7896676 ----------

---------- 1544914607.7968187 ----------

---------- 1544914612.8040426 ----------

---------- 1544914617.8112633 ----------

---------- 1544914622.8184283 ----------

---------- 1544914627.8256006 ----------

---------- 1544914632.8328228 ----------

---------- 1544914637.8400261 ----------

---------- 1544914642.8472197 ----------

---------- 1544914647.8544557 ----------

---------- 1544914652.8616724 ----------

---------- 1544914657.8689003 ----------

---------- 1544914662.876125 ----------

---------- 1544914667.88333 ----------

---------- 1544914672.8905582 ----------

---------- 1544914677.896929 ----------

---------- 1544914682.9041247 ----------

---------- 1544914687.9089482 ----------

---------- 1544914692.9161682 ----------

---------- 1544914697.9209447 ----------

---------- 1544914702.9281685 ----------

---------- 1544914707.932939 ----------

---------- 1544914712.9401567 ----------

---------- 1544914717.9449475 ----------

---------- 1544914722.9521365 ----------

---------- 1544914727.9569383 ----------

---------- 1544914732.9641726 ----------

---------- 1544914737.9689634 ----------

---------- 1544914742.97618 ----------

---------- 1544914747.9809458 ----------

---------- 1544914752.988215 ----------

